ID Year,Year,ID Continent,Continent,ID Country,Country,Number of visas
2005,2005,2,África,104,Guinea,1.0
2005,2005,2,África,105,Sierra Leona,5.0
2005,2005,2,África,107,Costa de Marfil,3.0
2005,2005,2,África,109,Togo,1.0
2005,2005,2,África,111,Nigeria,1.0
2005,2005,2,África,112,Sudáfrica,43.0
2005,2005,2,África,119,Mauricio,2.0
2005,2005,2,África,121,Mozambique,3.0
2005,2005,2,África,124,Egipto,6.0
2005,2005,2,África,126,Túnez,1.0
2005,2005,2,África,127,Argelia,2.0
2005,2005,2,África,128,Marruecos,9.0
2005,2005,2,África,129,Cabo Verde,1.0
2005,2005,2,África,135,Tanzania,3.0
2005,2005,2,África,137,Kenya,5.0
2005,2005,2,África,140,Angola,1.0
2005,2005,2,África,142,Rwanda,2.0
2005,2005,2,África,144,"Congo, República del",1.0
2005,2005,2,África,149,Camerún,1.0
2005,2005,2,África,150,Benin,2.0
2005,2005,2,África,161,Burkina Faso,2.0
2005,2005,9,Oceanía,403,Tonga (Isla Tonga),1.0
2005,2005,9,Oceanía,405,Nueva Zelandia,52.0
2005,2005,9,Oceanía,406,Australia,123.0
2005,2005,9,Oceanía,418,Islas Salomón,2.0
2005,2005,19,América,201,Venezuela,567.0
2005,2005,19,América,202,Colombia,2179.0
2005,2005,19,América,203,Trinidad y Tobago,4.0
2005,2005,19,América,205,Jamaica,4.0
2005,2005,19,América,206,República Dominicana,172.0
2005,2005,19,América,207,Bahamas,1.0
2005,2005,19,América,208,Haití,12.0
2005,2005,19,América,209,Cuba,664.0
2005,2005,19,América,210,Panamá,72.0
2005,2005,19,América,211,Costa Rica,58.0
2005,2005,19,América,212,Nicaragua,43.0
2005,2005,19,América,213,El Salvador,55.0
2005,2005,19,América,214,Honduras,44.0
2005,2005,19,América,215,Guatemala,57.0
2005,2005,19,América,216,México,599.0
2005,2005,19,América,218,Ecuador,2956.0
2005,2005,19,América,219,Perú,25966.0
2005,2005,19,América,220,Brasil,1160.0
2005,2005,19,América,221,Bolivia,2420.0
2005,2005,19,América,222,Paraguay,403.0
2005,2005,19,América,223,Uruguay,1077.0
2005,2005,19,América,224,Argentina,6263.0
2005,2005,19,América,225,Estados Unidos de América,1984.0
2005,2005,19,América,226,Canadá,272.0
2005,2005,19,América,231,Dominica,1.0
2005,2005,19,América,232,Granada,1.0
2005,2005,19,América,234,San Vicente y las Granadinas,1.0
2005,2005,19,América,236,Belice,3.0
2005,2005,142,Asia,301,Jordania,8.0
2005,2005,142,Asia,302,Arabia Saudita,1.0
2005,2005,142,Asia,306,Israel,47.0
2005,2005,142,Asia,307,Iraq,8.0
2005,2005,142,Asia,308,Afghanistán,8.0
2005,2005,142,Asia,309,Irán,11.0
2005,2005,142,Asia,310,Siria,28.0
2005,2005,142,Asia,311,Libano,21.0
2005,2005,142,Asia,317,India,171.0
2005,2005,142,Asia,319,Tailandia,11.0
2005,2005,142,Asia,320,Nepal,2.0
